Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Washington;County;14965;15150;14716;14533
Wayne;County;17241;17149;16760;16651
White;County;16522;15381;14665;14663
Whiteside;County;60186;60662;58498;58388
Will;County;357313;502211;677560;681545
Williamson;County;57733;61300;66357;66622
Winnebago;County;252913;278441;295266;293993
Woodford;County;32653;35491;38664;38861
Indiana;Federal State;5544156;6080827;6483802;6516922
Adams;County;31095;33605;34387;34370
Allen;County;300836;331859;355329;358327
Bartholomew;County;63657;71467;76794;77870
Benton;County;9441;9427;8854;8853
Blackford;County;14067;14042;12766;12594
Boone;County;38147;46145;56640;57481
Brown;County;14080;14953;15242;15099
Carroll;County;18809;20168;20155;20031
Cass;County;38413;40924;38966;38828
Clark;County;87774;96446;110232;111570
Clay;County;24705;26567;26890;26894
Clinton;County;30974;33879;33224;33104
Crawford;County;9914;10743;10713;10658
Daviess;County;27533;29815;31648;31978
Dearborn;County;38835;46163;50047;50113
Decatur;County;23645;24559;25740;25944
DeKalb;County;35324;40303;42223;42462
Delaware;County;119659;118769;117671;117660
Dubois;County;36616;39868;41889;42199
Elkhart;County;156198;182793;197559;198941
Fayette;County;26015;25591;24277;24285
Floyd;County;64404;70815;74578;74989
Fountain;County;17808;17962;17240;17213
Franklin;County;19580;22187;23087;23041
Fulton;County;18840;20502;20836;20872
Gibson;County;31913;32473;33503;33505
Grant;County;74169;73410;70061;69793
Greene;County;30410;33152;33165;32895
Hamilton;County;108936;182763;274569;282810
Hancock;County;45527;55439;70002;70529
Harrison;County;29890;34354;39364;39336
Hendricks;County;75717;104051;145448;147979
Henry;County;48139;48511;49462;49264
Howard;County;80827;84961;82752;82800
Huntington;County;35427;38078;37124;37211
Jackson;County;37730;41397;42376;42966
Jasper;County;24823;30192;33478;33416
Jay;County;21512;21815;21253;21310
Jefferson;County;29797;31712;32428;32249
Jennings;County;23661;27561;28525;28196
Johnson;County;88109;115181;139654;141656
Knox;County;39884;39263;38440;38500
Kosciusko;County;65294;74053;77358;77336
LaGrange;County;29477;34789;37128;37382
Lake;County;475594;484582;496005;495558
LaPorte;County;107066;110099;111467;111374
Lawrence;County;42836;45912;46134;46195
Madison;County;130669;133322;131636;131235
Marion;County;797159;860440;903393;911296
Marshall;County;42182;45126;47051;47050
Martin;County;10369;10367;10334;10332
Miami;County;36897;36085;36903;36611
Monroe;County;108978;120561;137974;139799
Montgomery;County;34436;37629;38124;38441
Morgan;County;55920;66705;68894;69464
Newton;County;13551;14538;14244;14161
Noble;County;37877;46468;47536;47553
Ohio;County;5315;5568;6128;6065
Orange;County;18409;19301;19840;19969
Owen;County;17281;21781;21575;21499
Parke;County;15410;17194;17339;17237
Perry;County;19107;18887;19338;19354
Pike;County;12509;12835;12845;12728
Porter;County;128932;146806;164343;165537
Posey;County;25968;27078;25910;25720
Pulaski;County;12780;13626;13402;13363
Putnam;County;30315;36060;37963;37917
Randolph;County;27148;27411;26171;26105
Ripley;County;24616;26508;28818;28759
Rush;County;18129;18258;17392;17287
Scott;County;20991;22976;24181;23987
Shelby;County;40307;43380;44436;44337
Spencer;County;19490;20385;20952;20961
St. Joseph;County;247052;265567;266931;266700
Starke;County;22747;23567;23363;23199
Steuben;County;27446;33233;34185;34028
Sullivan;County;18993;21736;21475;21356
Switzerland;County;7738;9082;10613;10569
Tippecanoe;County;130598;148954;172780;174724
Tipton;County;16119;16601;15936;15788
Union;County;6976;7341;7516;7513
Vanderburgh;County;165058;171941;179703;180305
Vermillion;County;16773;16790;16212;16231
Vigo;County;106107;105859;107848;108182
Wabash;County;35069;34968;32888;32608
Warren;County;8176;8415;8508;8431
Warrick;County;44920;52380;59689;60275
Washington;County;23717;27204;28262;28147
Wayne;County;71951;71087;68917;68643
Wells;County;25948;27626;27636;27734
White;County;23265;25264;24643;24694
Whitley;County;27651;30617;33292;33392
Iowa;Federal State;2776831;2926538;3046355;3062309
Adair;County;8409;8252;7682;7527
Adams;County;4866;4479;4029;4004
Allamakee;County;13855;14687;14330;14274
Appanoose;County;13743;13715;12887;12797
Audubon;County;7334;6826;6119;6034
Benton;County;22429;25312;26076;26092
Black Hawk;County;123798;127990;131090;131549
Boone;County;25186;26206;26306;26255
Bremer;County;22813;23361;24276;24281
Buchanan;County;20844;21092;20958;20923
Buena Vista;County;19965;20415;20260;20406
Butler;County;15731;15307;14867;14939
Calhoun;County;11508;11114;9670;9626
Carroll;County;21423;21433;20816;20861
Cass;County;15128;14689;13956;13817
Cedar;County;17444;18181;18499;18400
Cerro Gordo;County;46733;46454;44151;43938
Cherokee;County;14098;13032;12072;12069
Chickasaw;County;13295;13095;12439;12449
Clarke;County;8287;9131;9286;9356
Clay;County;17585;17369;16667;16590
Clayton;County;19054;18667;18129;18014
Clinton;County;51040;50159;49116;49015
Crawford;County;16775;16945;17096;17277
Dallas;County;29755;41109;66135;69444
Davis;County;8312;8541;8753;8787
Decatur;County;8338;8689;8457;8284
Delaware;County;18035;18422;17764;17658
Des Moines;County;42614;42359;40325;40169
Dickinson;County;14909;16429;16667;16899
Dubuque;County;86403;89133;93653;94648
Emmet;County;11569;11022;10302;10104
Fayette;County;21843;22020;20880;20973
Floyd;County;17058;16898;16303;16070
Franklin;County;11364;10700;10680;10730
Fremont;County;8226;8008;7441;7367
Greene;County;10045;10372;9336;9285
Grundy;County;12029;12370;12453;12459
Guthrie;County;10935;11348;10954;10901
Hamilton;County;16071;16435;15673;15538
Hancock;County;12638;12107;11341;11287
Hardin;County;19094;18806;17534;17426
Harrison;County;14730;15674;14928;14828
Henry;County;19226;20353;20145;20284
Howard;County;9809;9951;9566;9565
Humboldt;County;10756;10384;9815;9802
Ida;County;8365;7839;7089;7086
Iowa;County;14630;15680;16355;16320
Jackson;County;19950;20295;19848;19796
Jasper;County;34795;37229;36842;36547
Jefferson;County;16310;16180;16843;16815
Johnson;County;96119;110983;130882;133038
Jones;County;19444;20227;20638;20608
Keokuk;County;11624;11405;10511;10378
Kossuth;County;18591;17159;15543;15396
Lee;County;38687;38062;35862;35621
Linn;County;168767;191728;211226;213875
Louisa;County;11592;12188;11387;11369
Lucas;County;9070;9412;8898;8847
Lyon;County;11952;11763;11581;11670
Madison;County;12483;14012;15679;15779
Mahaska;County;21532;22319;22381;22530
Marion;County;30001;32048;33309;33335
Marshall;County;38276;39332;40648;40980
Mills;County;13202;14543;15059;14992
Mitchell;County;10928;10877;10776;10783
Monona;County;10034;10020;9243;9239
Monroe;County;8114;8012;7970;8056
Montgomery;County;12076;11775;10740;10640
Muscatine;County;39907;41723;42745;42815
O'Brien;County;15444;15096;14398;14210
Osceola;County;7267;7003;6462;6357
Page;County;16870;16982;15932;15987
Palo Alto;County;10669;10143;9421;9419
Plymouth;County;23388;24859;24986;24896
Pocahontas;County;9525;8664;7310;7180
Polk;County;327140;374258;430640;437399
Pottawattamie;County;82628;87825;93158;93518
Poweshiek;County;19033;18829;18914;18804
Ringgold;County;5420;5469;5131;5119
Sac;County;12324;11531;10350;10241
Scott;County;150973;158705;165224;167095
Shelby;County;13230;13064;12167;12039
Sioux;County;29903;31596;33704;33900
Story;County;74252;79988;89542;89663
Tama;County;17419;18099;17767;17695
Taylor;County;7114;6958;6317;6305
Union;County;12750;12312;12534;12545
Van Buren;County;7676;7800;7570;7510
Wapello;County;35696;36067;35625;35421
Warren;County;36033;40672;46225;46732
Washington;County;19612;20679;21704;21855
Wayne;County;7067;6732;6403;6309
Webster;County;40342;40230;38013;37660
Winnebago;County;12122;11717;10866;10789
Winneshiek;County;20847;21291;21056;21024
Woodbury;County;98276;103876;102172;102509
Worth;County;7991;7904;7598;7544
Wright;County;14269;14337;13229;13068
Kansas;Federal State;2477588;2688925;2853118;2871238
Allen;County;14638;14394;13371;13331
Anderson;County;7803;8108;8102;8070
Atchison;County;16932;16787;16924;16793
Barber;County;5874;5307;4861;4888
Barton;County;29382;28200;27674;27841
Bourbon;County;14966;15380;15173;14985
Brown;County;11128;10728;9984;10010
Butler;County;50580;59455;65880;65817
Chase;County;3021;3030;2790;2817
Chautauqua;County;4407;4359;3669;3584
Cherokee;County;21374;22601;21603;21385
Cheyenne;County;3243;3165;2726;2718
Clark;County;2418;2395;2215;2143
Clay;County;9158;8845;8535;8573
Cloud;County;11023;10271;9533;9365
Coffey;County;8404;8871;8601;8533
Comanche;County;2313;1967;1891;1884
Cowley;County;36915;36307;36311;36272
Crawford;County;35582;38248;39134;39220
Decatur;County;4021;3472;2961;2915
Dickinson;County;18958;19327;19754;19739
Doniphan;County;8134;8249;7945;7945
Douglas;County;81798;99953;110826;112211
Edwards;County;3787;3449;3037;3020
Elk;County;3327;3261;2882;2811
Ellis;County;26004;27506;28452;28742
Ellsworth;County;6586;6524;6497;6483
Finney;County;33070;40517;36776;37083
Ford;County;27463;32452;33848;34568
Franklin;County;21994;24784;25992;25931
Geary;County;30453;27849;34362;35323
Gove;County;3231;3074;2695;2697
Graham;County;3543;2944;2597;2641
Grant;County;7159;7905;7829;7964
Gray;County;5396;5918;6006;6113
Greeley;County;1774;1534;1247;1258
Greenwood;County;7847;7663;6689;6644
Hamilton;County;2388;2665;2690;2666
Harper;County;7124;6537;6034;5993
Harvey;County;31028;32885;34684;34846
Haskell;County;3886;4307;4256;4285
Hodgeman;County;2177;2081;1916;1966
Jackson;County;11525;12650;13462;13433
Jefferson;County;15905;18450;19126;18941
Jewell;County;4251;3789;3077;3096
Johnson;County;355021;451541;544179;552991
Kearny;County;4027;4525;3977;3987
Kingman;County;8292;8675;7858;7853
Kiowa;County;3660;3278;2553;2549
Labette;County;23693;22821;21607;21511
Lane;County;2375;2155;1750;1749
Leavenworth;County;64371;68684;76227;77176
Lincoln;County;3653;3578;3241;3215
Linn;County;8254;9541;9656;9612
Logan;County;3081;3051;2756;2783
Lyon;County;34732;35934;33690;33764
Marion;County;12888;13358;12660;12538
Marshall;County;11705;10967;10117;10005
McPherson;County;27268;29560;29180;29241
Meade;County;4247;4628;4575;4531
Miami;County;23466;28340;32787;32715
Mitchell;County;7203;6929;6373;6295
Montgomery;County;38816;36267;35471;34911
Morris;County;6198;6113;5923;5888
Morton;County;3480;3494;3233;3198
Nemaha;County;10446;10716;10178;10113
Neosho;County;17035;16996;16512;16449
Ness;County;4033;3452;3107;3120
Norton;County;5947;5950;5671;5635
Osage;County;15248;16713;16295;16306
Osborne;County;4867;4452;3858;3847
Ottawa;County;5634;6164;6091;6119
Pawnee;County;7555;7235;6973;7011
Phillips;County;6590;5995;5642;5555
Pottawatomie;County;16128;18208;21604;21920
Pratt;County;9702;9649;9656;9676
Rawlins;County;3404;2966;2519;2512
Reno;County;62389;64793;64511;64607
Republic;County;6482;5831;4980;4907
Rice;County;10610;10760;10083;10076
Riley;County;67139;62954;71115;72997
Rooks;County;6039;5685;5181;5182
Rush;County;3842;3549;3307;3238
Russell;County;7835;7374;6970;6956
Saline;County;49301;53599;55606;55844
Scott;County;5289;5120;4936;4910
Sedgwick;County;403662;452901;498365;501076
Seward;County;18743;22517;22952;23328
Shawnee;County;160976;169879;177934;178941
Sheridan;County;3043;2814;2556;2552
Sherman;County;6926;6757;6010;6054
Smith;County;5078;4538;3853;3834
Stafford;County;5365;4789;4437;4371
Stanton;County;2333;2406;2235;2250
Stevens;County;5048;5465;5724;5613
Sumner;County;25841;25944;24132;23787
Thomas;County;8258;8174;7900;7977
Trego;County;3694;3311;3001;2930
Wabaunsee;County;6603;6876;7053;7026
Wallace;County;1821;1749;1485;1527
Washington;County;7073;6458;5799;5845
Wichita;County;2758;2531;2234;2276
Wilson;County;10289;10341;9409;9300
Woodson;County;4116;3788;3309;3292
Wyandotte;County;162026;157924;157505;158224
Kentucky;Federal State;3686892;4042193;4339367;4369356
Adair;County;15360;17275;18656;18686
Allen;County;14628;17792;19956;20140
Anderson;County;14571;19093;21421;21644
Ballard;County;7902;8293;8249;8253
Barren;County;34001;38045;42173;42269
Bath;County;9692;11099;11591;11742
Bell;County;31506;30049;28691;28725
Boone;County;57589;86051;118811;121737
Bourbon;County;19236;19360;19985;19998
Boyd;County;51096;49721;49542;49466
Boyle;County;25590;27676;28432;28550
Bracken;County;7766;8276;8488;8513
Breathitt;County;15703;16089;13878;13842
Breckinridge;County;16312;18633;20059;20256
Bullitt;County;47567;61178;74319;75109
Butler;County;11245;12981;12690;12827
Caldwell;County;13232;13057;12984;12973
Calloway;County;30735;34182;37191;37544
Campbell;County;83866;88627;90336;90940
Carlisle;County;5238;5349;5104;5048
Carroll;County;9292;10170;10811;11013
Carter;County;24340;26879;27720;27586
Casey;County;14211;15450;15955;15909
Christian;County;68941;72402;73955;73591
Clark;County;29496;33180;35613;35537
Clay;County;21746;24586;21730;21720
Clinton;County;9135;9622;10272;10201
Crittenden;County;9196;9384;9315;9336
Cumberland;County;6784;7150;6856;6832
Daviess;County;87189;91542;96656;97234
Edmonson;County;10357;11632;12161;12090
Elliott;County;6455;6747;7852;7707
Estill;County;14614;15315;14672;14666
Fayette;County;225366;260527;295803;301569
Fleming;County;12292;13787;14348;14512
Floyd;County;43586;42451;39451;39207
Franklin;County;44143;47703;49285;49393
Fulton;County;8271;7755;6813;6755
Gallatin;County;5393;7845;8589;8612
Garrard;County;11579;14783;16912;16885
Grant;County;15737;22350;24662;24816
Graves;County;33550;37024;37121;37519
Grayson;County;21050;24037;25746;25957
Green;County;10371;11499;11258;11220
Greenup;County;36796;36927;36910;36865
Hancock;County;7864;8395;8565;8572
Hardin;County;89240;92629;105543;107456
Harlan;County;36574;33192;29278;29060
Harrison;County;16248;17956;18846;18777
Hart;County;14890;17459;18199;18235
Henderson;County;43044;44837;46250;46406
Henry;County;12823;15010;15416;15443
Hickman;County;5566;5254;4902;4784
Hopkins;County;46126;46519;46920;46909
Jackson;County;11955;13492;13494;13443
Jefferson;County;665123;693775;741096;746906
Jessamine;County;30508;39043;48586;49046
Johnson;County;23248;23443;23356;23396
Kenton;County;142005;151449;159720;160406
Knott;County;17906;17650;16346;16289
Knox;County;29676;31739;31883;31888
Larue;County;11679;13363;14193;14315
Laurel;County;43438;52712;58849;59355
Lawrence;County;13998;15558;15860;16035
Lee;County;7422;7915;7887;7817
Leslie;County;13642;12411;11310;11233
Letcher;County;27000;25261;24519;24446
Lewis;County;13029;14078;13870;13878
Lincoln;County;20096;23325;24742;24731
Livingston;County;9062;9806;9519;9531
Logan;County;24416;26593;26835;26792
Lyon;County;6624;8081;8314;8317
Madison;County;57508;70916;82916;84188
Magoffin;County;13077;13334;13333;13216
Marion;County;16499;18244;19820;19982
Marshall;County;27205;30126;31448;31308
Martin;County;12526;12570;12929;12751
Mason;County;16666;16812;17490;17653
McCracken;County;62879;65511;65565;65864
McCreary;County;15603;17078;18306;18285
McLean;County;9628;9942;9531;9527
Meade;County;24170;27989;28602;29562
Menifee;County;5092;6539;6306;6317
Mercer;County;19148;20809;21331;21282
Metcalfe;County;8963;10025;10099;10073
Monroe;County;11401;11737;10963;10937
Montgomery;County;19561;22536;26499;26743
Morgan;County;11648;13949;13923;13943
Muhlenberg;County;31318;31845;31499;31272
Nelson;County;29710;37487;43437;43974
Nicholas;County;6725;6812;7135;7071
Ohio;County;21105;22928;23842;24103
Oldham;County;33263;46495;60316;60642
Owen;County;9035;10542;10841;10858
Owsley;County;5036;4844;4755;4820
Pendleton;County;12062;14384;14877;14698
Perry;County;30283;29415;28712;28751
Pike;County;72584;68777;65024;64904
Powell;County;11686;13236;12613;12651
Pulaski;County;49489;56281;63063;63657
Robertson;County;2124;2269;2282;2229
Rockcastle;County;14803;16546;17056;17069
Rowan;County;20353;22091;23333;23582
Russell;County;14716;16282;17565;17610
Scott;County;23867;33076;47173;48149
Shelby;County;24824;33386;42074;43068
Simpson;County;15145;16411;17327;17378
Spencer;County;6801;11699;17061;17378
Taylor;County;21146;22889;24512;24731
Todd;County;10940;11954;12460;12463
Trigg;County;10361;12600;14339;14305
Trimble;County;6090;8183;8809;8725
Union;County;16557;15454;15007;15067
Warren;County;77720;92546;113792;115517
Washington;County;10441;10920;11717;11846
Wayne;County;17468;19902;20813;20969
Webster;County;13955;14112;13621;13668
Whitley;County;33326;35875;35637;35823
Wolfe;County;6503;7092;7355;7342
Woodford;County;19955;23225;24939;24945
Louisiana;Federal State;4221826;4469035;4533372;4574836
Acadia;Parish;55882;58833;61773;61982
Allen;Parish;21226;25441;25764;25757
Ascension;Parish;58214;76639;107215;109985
Assumption;Parish;22753;23343;23421;23153
Avoyelles;Parish;39159;41501;42073;41895
Beauregard;Parish;30083;32948;35654;36129
Bienville;Parish;16232;15753;14353;14335
Bossier;Parish;86088;99355;116979;119732
Caddo;Parish;248253;251129;254969;257051
Calcasieu;Parish;168134;183606;192768;194092
Caldwell;Parish;9806;10554;10132;10057
Cameron;Parish;9260;9965;6839;6730
Catahoula;Parish;11065;10905;10407;10325
Claiborne;Parish;17405;16850;17195;16914
Concordia;Parish;20828;20221;20822;20876
De Soto;Parish;25668;25489;26656;26812
East Baton Rouge;Parish;380105;412899;440171;441438
East Carroll;Parish;9709;9415;7759;7630
East Feliciana;Parish;19211;21348;20267;20117
Evangeline;Parish;33274;35502;33984;33896
Franklin;Parish;22387;21264;20767;20785
Grant;Parish;17526;18697;22309;22131
Iberia;Parish;68297;73277;73240;73400
Iberville;Parish;31049;33319;33387;33230
Jackson;Parish;15859;15408;16274;16323
Jefferson;Parish;448306;455406;432552;432640
Jefferson Davis;Parish;30722;31432;31594;31694
Lafayette;Parish;164762;190234;221578;224390
Lafourche;Parish;85860;89745;96318;96666
La Salle;Parish;13662;14276;14890;14985
Lincoln;Parish;41745;42503;46735;46856
Livingston;Parish;70523;91889;128026;130251
Madison;Parish;12463;13724;12093;12004
Morehouse;Parish;31938;31037;27979;27608
Natchitoches;Parish;37254;39077;39566;39442
Orleans;Parish;496938;484692;343829;360740
Ouachita;Parish;142191;147256;153720;154919
Plaquemines;Parish;25575;26749;23042;23628
Pointe Coupee;Parish;22540;22761;22802;22703
Rapides;Parish;131556;126390;131613;132374
Red River;Parish;9526;9621;9091;8890
Richland;Parish;20629;20989;20725;20938
Sabine;Parish;22646;23434;24233;24526
St. Bernard;Parish;66631;67230;35897;39558
St. Charles;Parish;42437;48019;52780;52517
St. Helena;Parish;9874;10553;11203;10949
St. James;Parish;20879;21193;22102;21784
St. John the Baptist;Parish;39996;43181;45924;45221
St. Landry;Parish;80312;87662;83384;83552
St. Martin;Parish;44097;48535;52160;52917
St. Mary;Parish;58086;53539;54650;54210
St. Tammany;Parish;144500;191270;233740;236785
Tangipahoa;Parish;85709;100481;121097;122571
Tensas;Parish;7103;6608;5252;5066
Terrebonne;Parish;96982;104772;111860;111917
Union;Parish;20796;22798;22721;22732
Vermilion;Parish;50055;54104;57999;58276
Vernon;Parish;61961;52539;52334;52107
Washington;Parish;43185;43943;47168;47139
Webster;Parish;41989;41814;41207;41288
West Baton Rouge;Parish;19419;21604;23788;24109
West Carroll;Parish;12093;12315;11604;11569
West Feliciana;Parish;12915;15110;15625;15460
Winn;Parish;16498;16889;15313;15080
Maine;Federal State;1227928;1274779;1328361;1328188
Androscoggin;County;105259;103803;107702;107398
Aroostook;County;86936;73943;71870;71482
Cumberland;County;243135;265612;281674;282401
Franklin;County;29008;29470;30768;30746
Hancock;County;46948;51869;54418;54578
Kennebec;County;115904;117074;122151;121935
Knox;County;36310;39631;39736;39708
Lincoln;County;30357;33628;34457;34224
Oxford;County;52602;54715;57833;57695
Penobscot;County;146601;144866;153923;153786
Piscataquis;County;18653;17236;17535;17419
Sagadahoc;County;33535;35187;35293;35207
Somerset;County;49767;50857;52228;52028
Waldo;County;33018;36257;38786;38745
Washington;County;35308;33922;32856;32637
York;County;164587;186709;197131;198199
Maryland;Federal State;4780753;5296647;5773552;5828289
Allegany;County;74946;74909;75087;74692
Anne Arundel;County;427239;489677;537656;544403
Baltimore;County;692134;753947;805029;809941
Baltimore City;City;736014;651262;620961;619493
Calvert;County;51372;74556;88737;89256
Caroline;County;27035;29735;33066;32985
Carroll;County;123372;150881;167134;167288
Cecil;County;71347;85964;101108;101694
Charles;County;101154;120524;146551;149130
Dorchester;County;30236;30671;32618;32640
Frederick;County;150208;195277;233385;236745
Garrett;County;28138;29852;30097;30051
Harford;County;182132;218914;244826;246489
Howard;County;187328;247876;287085;293142
Kent;County;17842;19201;20197;20204
Montgomery;County;762875;873874;971777;989794
Prince George's;County;722705;801091;863420;871233
Queen Anne's;County;33953;40580;47798;48354
Somerset;County;23440;24746;26470;26339
St. Mary's;County;75974;86196;105151;107484
Talbot;County;30549;33806;37782;38025
Washington;County;121393;131911;147430;148203
Wicomico;County;74339;84638;98733;99190
Worcester;County;35028;46559;51454;51514
Massachusetts;Federal State;6016425;6349364;6547629;6587536
Barnstable;County;186605;222239;215888;215769
Berkshire;County;139352;134922;131219;130458
Bristol;County;506325;534702;548285;548922
Dukes;County;11639;15001;16535;16766
Essex;County;670080;723496;743159;748930
Franklin;County;70086;71540;71372;71599
Hampden;County;456310;456280;463490;463783
Hampshire;County;146568;152237;158080;157822
Middlesex;County;1398468;1465244;1503085;1518171
Nantucket;County;6012;9522;10172;10142
Norfolk;County;616087;650265;670850;675436
Plymouth;County;435276;472858;494919;497579
Suffolk;County;663906;691047;722023;730932
Worcester;County;709711;750011;798552;801227
Michigan;Federal State;9295287;9938823;9883640;9876187
Alcona;County;10145;11709;10942;10800
Alger;County;8972;9860;9601;9513
Allegan;County;90509;105631;111408;111234
Alpena;County;30605;31297;29598;29386
Antrim;County;18185;23102;23580;23316
Arenac;County;14906;17279;15899;15649
Baraga;County;7954;8739;8860;8808
Barry;County;50057;56776;59173;58820
Bay;County;111723;110271;107771;107110
Benzie;County;12200;15986;17525;17443
Berrien;County;161378;162491;156813;156941
Branch;County;41502;45781;45248;45197
Calhoun;County;135982;137991;136146;135490
Cass;County;49477;51086;52293;51988
Charlevoix;County;21468;26087;25949;25998
Cheboygan;County;21398;26406;26152;25918
Chippewa;County;34604;38543;38520;38797
Clare;County;24952;31259;30926;31033
Clinton;County;57893;64715;75382;75469
Crawford;County;12260;14236;14074;14014
Delta;County;37780;38528;37069;37105
Dickinson;County;26831;27474;26168;26185
Eaton;County;92879;103721;107759;108056
Emmet;County;25040;31435;32694;32848
Genesee;County;430459;436213;425790;422080
Gladwin;County;21896;26042;25692;25851
Gogebic;County;18052;17375;16427;16281
Grand Traverse;County;64273;77655;86986;88349
Gratiot;County;38982;42289;42476;42145
Hillsdale;County;43431;46540;46688;46514
Houghton;County;35446;36013;36628;36638
Huron;County;34951;36088;33118;32675
Ingham;County;281912;279409;280895;281613
Ionia;County;57024;61539;63905;63979
Iosco;County;30209;27343;25887;25541
Iron;County;13175;13129;11817;11796
Isabella;County;54624;63336;70311;70622
Jackson;County;149756;158426;160248;159748
Kalamazoo;County;223411;238602;250331;252074
Kalkaska;County;13497;16565;17153;17160
Kent;County;500631;574421;602622;608453
Keweenaw;County;1701;2296;2156;2173
Lake;County;8583;11274;11539;11539
Lapeer;County;74768;87947;88319;88082
Leelanau;County;16527;21125;21708;21459
Lenawee;County;91476;98970;99892;99440
Livingston;County;115645;156943;180967;181722
Luce;County;5763;7028;6631;6584
Mackinac;County;10674;11941;11113;11037
Macomb;County;717400;788120;840978;842145
Manistee;County;21265;24500;24733;24709
Marquette;County;70887;64634;67077;67694
Mason;County;25537;28283;28705;28678
Mecosta;County;37308;40547;42798;43300
Menominee;County;24920;25323;24029;23930
Midland;County;75651;82797;83629;84063
Missaukee;County;12147;14473;14849;14911
Monroe;County;133600;145939;152021;151560
Montcalm;County;53059;61270;63342;63185
Montmorency;County;8936;10316;9765;9653
Muskegon;County;158983;170208;172188;171302
Newaygo;County;38206;47858;48460;48352
Oakland;County;1083592;1194346;1202362;1210145
Oceana;County;22455;26857;26570;26523
Ogemaw;County;18681;21644;21699;21570
Ontonagon;County;8854;7817;6780;6598
Osceola;County;20146;23199;23528;23510
Oscoda;County;7842;9399;8640;8608
Otsego;County;17957;23310;24164;24078
Ottawa;County;187768;238413;263801;266300
Presque Isle;County;13743;14421;13376;13155
Roscommon;County;19776;25452;24449;24414
Saginaw;County;211946;210051;200169;199088
Sanilac;County;39928;44511;43114;42605
Schoolcraft;County;8302;8900;8485;8490
Shiawassee;County;69770;71695;70648;69841
St. Clair;County;145607;164242;163040;161642
St. Joseph;County;58913;62411;61295;61136
Tuscola;County;55498;58263;55729;55422
Van Buren;County;70060;76239;76258;76131
Washtenaw;County;282937;322818;344791;347962
Wayne;County;2111687;2061180;1820584;1802096
Wexford;County;26360;30475;32735;32718
Minnesota;Federal State;4375665;4919631;5303925;5344861
Aitkin;County;12425;15221;16202;16220
Anoka;County;243641;298164;330844;333140
Becker;County;27881;30006;32504;32778
Beltrami;County;34384;39638;44442;45264
Benton;County;30185;34242;38451;38671
Big Stone;County;6285;5816;5269;5238
Blue Earth;County;54044;55931;64013;64384
Brown;County;26984;26916;25893;25734
Carlton;County;29259;31705;35386;35455
Carver;County;47915;70243;91042;92638
Cass;County;21791;27148;28567;28390
Chippewa;County;13228;12937;12441;12319
Chisago;County;30521;41116;53887;53916
Clay;County;50422;51227;58999;59803
Clearwater;County;8309;8432;8695;8774
Cook;County;3868;5164;5176;5218
Cottonwood;County;12694;12190;11687;11686
Crow Wing;County;44249;54985;62500;62763
Dakota;County;275210;355923;398552;402006
Dodge;County;15731;17735;20087;20243
Douglas;County;28674;32808;36009;36172
Faribault;County;16937;16180;14553;14508
Fillmore;County;20777;21113;20866;20876
Freeborn;County;33060;32584;31255;31172
Goodhue;County;40690;44139;46183;46217
Grant;County;6246;6286;6018;5989
Hennepin;County;1032431;1116162;1152425;1168431
Houston;County;18497;19725;19027;18916
Hubbard;County;14939;18314;20428;20303
Isanti;County;25921;31280;37816;38283
Itasca;County;40844;43909;45058;45034
Jackson;County;11677;11242;10266;10202
Kanabec;County;12802;14987;16239;16169
Kandiyohi;County;38761;41193;42239;42173
Kittson;County;5767;5279;4552;4515
Koochiching;County;16299;14351;13311;13213
Lac qui Parle;County;8924;8073;7259;7193
Lake;County;10415;11053;10866;10824
Lake of the Woods;County;4076;4508;4045;4007
Le Sueur;County;23239;25416;27703;27656
Lincoln;County;6890;6425;5896;5820
Lyon;County;24789;25437;25857;25891
Mahnomen;County;5044;5190;5413;5456
Marshall;County;10993;10147;9439;9481
Martin;County;22914;21807;20840;20689
McLeod;County;32030;34906;36651;36432
Meeker;County;20846;22636;23300;23265
Mille Lacs;County;18670;22304;26097;25979
Morrison;County;29604;31743;33198;33229
Mower;County;37385;38604;39163;39349
Murray;County;9660;9169;8725;8630
Nicollet;County;28076;29780;32727;32820
Nobles;County;20098;20832;21378;21397
Norman;County;7975;7442;6852;6869
Olmsted;County;106470;124287;144248;145769
Otter Tail;County;50714;57083;57303;57252
Pennington;County;13306;13590;13930;14072
Pine;County;21264;26429;29750;29604
Pipestone;County;10491;9898;9596;9501
Polk;County;32589;31370;31600;31456
Pope;County;10745;11222;10995;10894
Ramsey;County;485760;511272;508640;514696
Red Lake;County;4525;4300;4089;4105
Redwood;County;17254;16813;16059;15972
Renville;County;17673;17147;15730;15500
Rice;County;49183;56663;64142;64409
Rock;County;9806;9720;9687;9614
Roseau;County;15026;16343;15629;15540
Scott;County;57846;89510;129928;132556
Sherburne;County;41945;64472;88499;89319
Sibley;County;14366;15361;15226;15169
St. Louis;County;198232;200586;200226;200255
Stearns;County;119324;133199;150642;151343
Steele;County;30729;33684;36576;36534
Stevens;County;10634;10053;9726;9685
Swift;County;10724;11967;9783;9640
Todd;County;23363;24402;24895;24836
Traverse;County;4463;4137;3558;3523
Wabasha;County;19744;21610;21676;21600
Wadena;County;13154;13730;13843;13749
Waseca;County;18079;19536;19136;19273
