Name;Status;Population census 1990-04-01;Population census 2000-04-01;Population census 2010-04-01;Population estimate 2011-07-01
Logan;County;20557;22480;22353;22290
Lonoke;County;39268;52849;68356;69341
Madison;County;11618;14228;15717;15776
Marion;County;12001;16147;16653;16573
Miller;County;38467;40455;43462;43759
Mississippi;County;57525;51999;46480;45966
Monroe;County;11333;10255;8149;8075
Montgomery;County;7841;9222;9487;9433
Nevada;County;10101;9940;8997;9017
Newton;County;7666;8603;8330;8264
Ouachita;County;30574;28776;26120;25880
Perry;County;7969;10199;10445;10405
Phillips;County;28830;26438;21757;21442
Pike;County;10086;11301;11291;11259
Poinsett;County;24664;25617;24583;24514
Polk;County;17347;20234;20662;20610
Pope;County;45883;54492;61754;62331
Prairie;County;9518;9523;8715;8618
Pulaski;County;349569;361370;382748;386299
Randolph;County;16558;18191;17969;18017
Saline;County;64183;83559;107118;109526
Scott;County;10205;10986;11233;11272
Searcy;County;7841;8240;8195;8036
Sebastian;County;99590;115101;125744;127127
Sevier;County;13637;15750;17058;17293
Sharp;County;14109;17120;17264;17380
St. Francis;County;28497;29330;28258;27970
Stone;County;9775;11496;12394;12603
Union;County;46719;45633;41639;41427
Van Buren;County;14008;16182;17295;17083
Washington;County;113409;157805;203065;207521
White;County;54676;67164;77076;78167
Woodruff;County;9520;8738;7260;7229
Yell;County;17759;21127;22185;22060
California;Federal State;29811427;33871653;37253956;37691912
Alameda;County;1304347;1443705;1510271;1529875
Alpine;County;1113;1206;1175;1102
Amador;County;30039;35101;38091;37953
Butte;County;182120;203125;220000;220266
Calaveras;County;31998;40535;45578;45052
Colusa;County;16275;18799;21419;21549
Contra Costa;County;803731;948865;1049025;1066096
Del Norte;County;23460;27505;28610;28659
El Dorado;County;125995;156314;181058;180938
Fresno;County;667479;798766;930450;942904
Glenn;County;24798;26432;28122;28128
Humboldt;County;119118;126508;134623;134761
Imperial;County;109303;142334;174528;177057
Inyo;County;18281;17955;18546;18478
Kern;County;544981;661632;839631;851710
Kings;County;101469;129470;152982;153765
Lake;County;50631;58331;64665;64323
Lassen;County;27598;33828;34895;34200
Los Angeles;County;8863052;9519315;9818605;9889056
Madera;County;88090;123179;150865;152925
Marin;County;230096;247301;252409;255031
Mariposa;County;14302;17112;18251;18191
Mendocino;County;80345;86253;87841;87553
Merced;County;178403;211178;255793;259898
Modoc;County;9678;9431;9686;9517
Mono;County;9956;12839;14202;14309
Monterey;County;355660;401752;415057;421898
Napa;County;110765;124344;136484;138088
Nevada;County;78510;92055;98764;98612
Orange;County;2410668;2846282;3010232;3055745
Placer;County;172796;248270;348432;357138
Plumas;County;19739;20817;20007;19765
Riverside;County;1170413;1545320;2189641;2239620
Sacramento;County;1066789;1223578;1418788;1436105
San Benito;County;36697;53214;55269;56072
San Bernardino;County;1418380;1709479;2035210;2065377
San Diego;County;2498016;2813839;3095313;3140069
San Francisco;County;723959;776764;805235;812826
San Joaquin;County;480628;563660;685306;696214
San Luis Obispo;County;217162;246746;269637;271969
San Mateo;County;649623;707099;718451;727209
Santa Barbara;County;369608;399293;423895;426878
Santa Clara;County;1497577;1682781;1781642;1809378
Santa Cruz;County;229734;255614;262382;264298
Shasta;County;147036;163242;177223;177774
Sierra;County;3318;3559;3240;3113
Siskiyou;County;43531;44305;44900;44507
Solano;County;339469;394495;413344;416471
Sonoma;County;388222;458586;483878;488116
Stanislaus;County;370522;446850;514453;518522
Sutter;County;64409;78947;94737;94919
Tehama;County;49625;56060;63463;63601
Trinity;County;13063;13011;13786;13723
Tulare;County;311932;368011;442179;449253
Tuolumne;County;48456;54522;55365;54953
Ventura;County;669016;753230;823318;831771
Yolo;County;141212;168660;200849;202054
Yuba;County;58234;60249;72155;72578
Colorado;Federal State;3294473;4302086;5029196;5116796
Adams (prior 2010 with parts of Broomfield);County;265038;348076;441603;451443
Alamosa;County;13617;14965;15445;15710
Arapahoe;County;391572;488829;572003;584948
Archuleta;County;5345;9894;12084;12013
Baca;County;4556;4517;3788;3795
Bent;County;5048;5996;6499;6250
Boulder (prior 2010 with parts of Broomfield);County;225339;269784;294567;299378
Broomfield;County;...;...;55889;57352
Chaffee;County;12684;16250;17809;17932
Cheyenne;County;2397;2229;1836;1876
Clear Creek;County;7619;9263;9088;9012
Conejos;County;7453;8400;8256;8291
Costilla;County;3190;3661;3524;3662
Crowley;County;3946;5514;5823;5736
Custer;County;1926;3508;4255;4205
Delta;County;20980;27824;30952;30451
Denver;County;467549;553805;600158;619968
Dolores;County;1504;1844;2064;2056
Douglas;County;60391;175732;285465;292167
Eagle;County;21928;41623;52197;51854
Elbert;County;9646;19855;23086;23174
El Paso;County;397014;516934;622263;636963
Fremont;County;32273;46140;46824;47347
Garfield;County;29974;43786;56389;56270
Gilpin;County;3070;4746;5441;5467
Grand;County;7966;12433;14843;14548
Gunnison;County;10273;14000;15324;15408
Hinsdale;County;467;792;843;830
Huerfano;County;6009;7859;6711;6520
Jackson;County;1605;1577;1394;1370
Jefferson (prior 2010 with parts of Broomfield);County;438430;525449;534543;539884
Kiowa;County;1688;1622;1398;1433
Kit Carson;County;7140;8013;8270;8142
Lake;County;6007;7814;7310;7427
La Plata;County;32284;43957;51334;51917
Larimer;County;186136;251489;299630;305525
Las Animas;County;13765;15212;15507;15037
Lincoln;County;4529;6089;5467;5454
Logan;County;17567;20566;22709;22619
Mesa;County;93145;116939;146723;147083
Mineral;County;558;831;712;708
Moffat;County;11357;13178;13795;13451
Montezuma;County;18672;23822;25535;25442
Montrose;County;24423;33438;41276;41011
Morgan;County;21939;27172;28159;28175
Otero;County;20185;20311;18831;18865
Ouray;County;2295;3747;4436;4356
Park;County;7174;14519;16206;16089
Phillips;County;4189;4485;4442;4399
Pitkin;County;12661;14889;17148;17102
Prowers;County;13347;14483;12551;12549
Pueblo;County;123051;141490;159063;160545
Rio Blanco;County;6051;5992;6666;6782
Rio Grande;County;10770;12425;11982;11956
Routt;County;14088;19679;23509;23239
Saguache;County;4619;5904;6108;6228
San Juan;County;745;558;699;692
San Miguel;County;3653;6593;7359;7490
Sedgwick;County;2690;2747;2379;2364
Summit;County;12881;23560;27994;27972
Teller;County;12468;20541;23350;23356
Washington;County;4812;4922;4814;4770
Weld (prior 2010 with parts of Broomfield);County;131821;180766;252825;258638
Yuma;County;8954;9846;10043;10100
Connecticut;Federal State;3287116;3405650;3574097;3580709
Fairfield;County;827645;882622;916829;925899
Hartford;County;851783;857184;894014;894705
Litchfield;County;174092;182183;189927;188789
Middlesex;County;143196;155088;165676;166043
New Haven;County;804219;823993;862477;861113
New London;County;254957;259108;274055;273502
Tolland;County;128699;136377;152691;152507
Windham;County;102525;109095;118428;118151
Delaware;Federal State;666168;783559;897934;907135
Kent;County;110993;126771;162310;164834
New Castle;County;441946;500294;538479;541971
Sussex;County;113229;156494;197145;200330
District of Columbia (DC);Federal District;606900;572086;601723;617996
District of Columbia (Washington D.C.);Federal District;606900;572086;601723;617996
Florida;Federal State;12938071;15982571;18801310;19057542
Alachua;County;181596;217964;247336;249365
Baker;County;18486;22255;27115;27154
Bay;County;126994;148270;168852;169856
Bradford;County;22515;26096;28520;28255
Brevard;County;398978;476299;543376;543566
Broward;County;1255531;1622974;1748066;1780172
Calhoun;County;11011;13002;14625;14750
Charlotte;County;110975;141620;159978;160511
Citrus;County;93513;118106;141236;140031
Clay;County;105986;140788;190865;192370
Collier;County;152099;251412;321520;328134
Columbia;County;42613;56413;67531;67485
DeSoto;County;23865;32204;34862;34894
Dixie;County;10585;13758;16422;16486
Duval;County;672971;778896;864263;870709
Escambia;County;262445;294415;297619;299114
Flagler;County;28701;49818;95696;97376
Franklin;County;8967;9827;11549;11596
Gadsden;County;41116;45017;46389;46151
Gilchrist;County;9667;14429;16939;17004
Glades;County;7591;10531;12884;12635
Gulf;County;11504;14548;15863;15844
Hamilton;County;10930;13321;14799;14671
Hardee;County;19499;26854;27731;27887
Hendry;County;25773;36184;39140;39089
Hernando;County;101115;130795;172778;173094
Highlands;County;68432;87391;98786;98630
Hillsborough;County;834054;998994;1229226;1267775
Holmes;County;15778;18564;19927;19873
Indian River;County;90208;112877;138028;138894
Jackson;County;41375;46781;49746;49292
Jefferson;County;11296;12876;14761;14658
Lafayette;County;5578;7019;8870;8942
Lake;County;152104;210418;297052;301019
Lee;County;335113;440910;618754;631330
Leon;County;192493;239509;275487;277971
Levy;County;25912;34448;40801;40156
Liberty;County;5569;7011;8365;8314
Madison;County;16569;18720;19224;19115
Manatee;County;211707;263996;322833;327142
Marion;County;194835;258873;331298;332529
Martin;County;100900;126777;146318;147495
Miami-Dade;County;1937194;2253793;2496435;2554766
Monroe;County;78024;79602;73090;73873
Nassau;County;43941;57645;73314;74195
Okaloosa;County;143777;170520;180822;183482
Okeechobee;County;29627;35869;39996;40140
